Herr/Frau;Titel;Vorname;Name;Land;Fraktion;Mailadresse
;;Mika;AALTOLA;Finnland;der Europäischen Volkspartei (Christdemokraten);mika.aaltola@europarl.europa.eu
;;Maravillas;ABADÍA JOVER;Spanien;der Europäischen Volkspartei (Christdemokraten);maravillas.abadiajover@europarl.europa.eu
;;Magdalena;ADAMOWICZ;Polen;der Europäischen Volkspartei (Christdemokraten);magdalena.adamowicz@europarl.europa.eu
;;Georgios;AFTIAS;Griechenland;der Europäischen Volkspartei (Christdemokraten);georgios.aftias@europarl.europa.eu
;;Oihane;AGIRREGOITIA MARTÍNEZ;Spanien;Renew Europe;oihane.agirregoitiamartinez@europarl.europa.eu
;;Peter;AGIUS;Malta;der Europäischen Volkspartei (Christdemokraten);peter.agius@europarl.europa.eu
;;Alex;AGIUS SALIBA;Malta;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;alex.agiussaliba@europarl.europa.eu
;;Galato;ALEXANDRAKI;Griechenland;der Europäischen Konservativen und Reformer;galato.alexandraki@europarl.europa.eu
;;Grégory;ALLIONE;Frankreich;Renew Europe;gregory.allione@europarl.europa.eu
;;Abir;AL-SAHLANI;Schweden;Renew Europe;abir.alsahlani@europarl.europa.eu
;;Nikolaos;ANADIOTIS;Griechenland;Fraktionslos;nikolaos.anadiotis@europarl.europa.eu
;;Christine;ANDERSON;Deutschland;Europa der Souveränen Nationen;christine.anderson@europarl.europa.eu
;;Li;ANDERSSON;Finnland;Die Linke im Europäischen Parlament - GUE/NGL;li.andersson@europarl.europa.eu
;;Rasmus;ANDRESEN;Deutschland;der Grünen / Freie Europäische Allianz;rasmus.andresen@europarl.europa.eu
;;Barry;ANDREWS;Irland;Renew Europe;barry.andrews@europarl.europa.eu
;;Mieke;ANDRIESE;Niederlande;Patrioten für Europa;mieke.andriese@europarl.europa.eu
;;Vytenis Povilas;ANDRIUKAITIS;Litauen;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;vytenispovilas.andriukaitis@europarl.europa.eu
;;Mathilde;ANDROUËT;Frankreich;Patrioten für Europa;mathilde.androuet@europarl.europa.eu
;;Marc;ANGEL;Luxemburg;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;marc.angel@europarl.europa.eu
;;Gerolf;ANNEMANS;Belgien;Patrioten für Europa;gerolf.annemans@europarl.europa.eu
;;Lucia;ANNUNZIATA;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;lucia.annunziata@europarl.europa.eu
;;Giuseppe;ANTOCI;Italien;Die Linke im Europäischen Parlament - GUE/NGL;giuseppe.antoci@europarl.europa.eu
;;Pablo;ARIAS ECHEVERRÍA;Spanien;der Europäischen Volkspartei (Christdemokraten);pablo.ariasecheverria@europarl.europa.eu
